model_name,sample_idx,method,tree_idx,tree,num_contexts,opt
model1,2,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,0
model1,2,prune,12,000000 00010 1 100 1000 10000 100000 10010 1010,9,0
model1,2,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,0
model1,2,prune,14,000000 1 10 100 1000 10000 100000,7,0
model1,2,prune,15,00000 1 10 100 1000 10000,6,0
model1,2,prune,16,0000 1 10 100 1000,5,0
model1,2,prune,17,000 1 10 100,4,0
model1,2,prune,18,00 1 10,3,0
model1,2,prune,19,0 1,2,0
model1,3,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,3,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0
model1,3,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model1,3,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model1,3,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model1,3,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,3,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,3,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,3,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,0
model1,3,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,3,prune,10,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100,11,0
model1,3,prune,11,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,0
model1,3,prune,12,000000 000100 1 10 1000 10000 100000 100100 10100,9,0
model1,3,prune,13,000000 00100 1 10 1000 10000 100000 10100,8,0
model1,3,prune,14,00000 00100 1 10 1000 10000 10100,7,0
model1,3,prune,15,0000 00100 1 10 1000 10100,6,0
model1,3,prune,16,000 00100 1 10 10100,5,0
model1,3,prune,17,000 1 10 100,4,0
model1,3,prune,18,00 1 10,3,0
model1,3,prune,19,0 1,2,0
model1,4,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,4,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0
model1,4,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model1,4,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model1,4,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model1,4,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,4,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,4,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,4,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,0
model1,4,prune,9,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010,12,0
model1,4,prune,10,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,0
model1,4,prune,11,000000 00010 001010 1 100 1000 10000 100000 10010 101010,10,0
model1,4,prune,12,000000 0010 001010 1 100 1000 10000 100000 101010,9,0
model1,4,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,0
model1,4,prune,14,000000 1 10 100 1000 10000 100000,7,0
model1,4,prune,15,00000 1 10 100 1000 10000,6,0
model1,4,prune,16,0000 1 10 100 1000,5,0
model1,4,prune,17,000 1 10 100,4,0
model1,4,prune,18,00 1 10,3,0
model1,4,prune,19,0 1,2,0
model1,5,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,5,prune,1,000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,0
model1,5,prune,2,000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,19,0
model1,5,prune,3,000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,18,0
model1,5,prune,4,000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,17,0
model1,5,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,5,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,5,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,5,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,0
model1,5,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,5,prune,10,000000 00010 000100 1 1000 10000 100000 10010 100100 1010 10100,11,0
model1,5,prune,11,000000 00010 00100 1 1000 10000 100000 10010 1010 10100,10,0
model1,5,prune,12,00000 00010 00100 1 1000 10000 10010 1010 10100,9,0
model1,5,prune,13,00000 0010 00100 1 1000 10000 1010 10100,8,0
model1,5,prune,14,00000 00100 1 10 1000 10000 10100,7,0
model1,5,prune,15,00000 1 10 100 1000 10000,6,0
model1,5,prune,16,0000 1 10 100 1000,5,0
model1,5,prune,17,000 1 10 100,4,0
model1,5,prune,18,00 1 10,3,0
model1,5,prune,19,0 1,2,0
model1,6,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,6,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0
model1,6,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model1,6,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model1,6,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model1,6,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,6,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,6,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,6,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,0
model1,6,prune,9,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,0
model1,6,prune,10,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,0
model1,6,prune,11,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,0
model1,6,prune,12,0000 000010 001010 1 100 1000 100010 10010 101010,9,0
model1,6,prune,13,000 000010 001010 1 100 100010 10010 101010,8,0
model1,6,prune,14,000 000010 1 100 100010 10010 1010,7,0
model1,6,prune,15,000 00010 1 100 10010 1010,6,0
model1,6,prune,16,000 0010 1 100 1010,5,0
model1,6,prune,17,000 1 10 100,4,0
model1,6,prune,18,00 1 10,3,0
model1,6,prune,19,0 1,2,0
model1,7,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,7,prune,1,000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,0
model1,7,prune,2,000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,19,0
model1,7,prune,3,000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,18,0
model1,7,prune,4,000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,17,0
model1,7,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,7,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,7,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,7,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,0
model1,7,prune,9,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,0
model1,7,prune,10,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,0
model1,7,prune,11,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,0
model1,7,prune,12,000000 00010 1 100 1000 10000 100000 10010 1010,9,0
model1,7,prune,13,000000 0010 1 100 1000 10000 100000 1010,8,0
model1,7,prune,14,000000 1 10 100 1000 10000 100000,7,0
model1,7,prune,15,00000 1 10 100 1000 10000,6,0
model1,7,prune,16,0000 1 10 100 1000,5,0
model1,7,prune,17,000 1 10 100,4,0
model1,7,prune,18,00 1 10,3,0
model1,7,prune,19,0 1,2,0
model1,8,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,8,prune,1,000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,0
model1,8,prune,2,000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,19,0
model1,8,prune,3,000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,18,0
model1,8,prune,4,000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,17,0
model1,8,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,8,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,8,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,8,prune,8,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,0
model1,8,prune,9,000000 000100 0010 001000 001010 1 10000 100000 100100 10100 101000 101010,12,0
model1,8,prune,10,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,0
model1,8,prune,11,000000 0010 001000 001010 1 100 10000 100000 101000 101010,10,0
model1,8,prune,12,00000 0010 001000 001010 1 100 10000 101000 101010,9,0
model1,8,prune,13,0000 0010 001000 001010 1 100 101000 101010,8,0
model1,8,prune,14,0000 0010 001010 1 100 1000 101010,7,0
model1,8,prune,15,000 0010 001010 1 100 101010,6,0
model1,8,prune,16,000 0010 1 100 1010,5,0
model1,8,prune,17,000 1 10 100,4,0
model1,8,prune,18,00 1 10,3,0
model1,8,prune,19,0 1,2,0
model1,9,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,9,prune,1,000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,0
model1,9,prune,2,000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,19,0
model1,9,prune,3,000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,18,0
model1,9,prune,4,000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,17,0
model1,9,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,9,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,9,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,9,prune,8,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,0
model1,9,prune,9,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010,12,0
model1,9,prune,10,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,0
model1,9,prune,11,000000 000100 0010 1 1000 10000 100000 100100 1010 10100,10,0
model1,9,prune,12,000000 000100 1 10 1000 10000 100000 100100 10100,9,0
model1,9,prune,13,00000 000100 1 10 1000 10000 100100 10100,8,0
model1,9,prune,14,0000 000100 1 10 1000 100100 10100,7,0
model1,9,prune,15,000 000100 1 10 100100 10100,6,0
model1,9,prune,16,000 00100 1 10 10100,5,0
model1,9,prune,17,000 1 10 100,4,0
model1,9,prune,18,00 1 10,3,0
model1,9,prune,19,0 1,2,0
model1,10,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,10,prune,1,000000 000001 000010 000100 000101 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 100101 10100 101000 10101 101010,20,0
model1,10,prune,2,000000 000001 000010 000100 001000 00101 001010 10000 100000 100001 10001 100010 1001 10010 100100 10100 101000 10101 101010,19,0
model1,10,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model1,10,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model1,10,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,10,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,10,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,10,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,0
model1,10,prune,9,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,0
model1,10,prune,10,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,0
model1,10,prune,11,00000 000010 00100 1 1000 10000 100010 10010 1010 10100,10,0
model1,10,prune,12,00000 000010 1 100 1000 10000 100010 10010 1010,9,0
model1,10,prune,13,0000 000010 1 100 1000 100010 10010 1010,8,0
model1,10,prune,14,000 000010 1 100 100010 10010 1010,7,0
model1,10,prune,15,000 00010 1 100 10010 1010,6,0
model1,10,prune,16,000 0010 1 100 1010,5,0
model1,10,prune,17,000 1 10 100,4,0
model1,10,prune,18,00 1 10,3,0
model1,10,prune,19,0 1,2,0
model1,11,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,11,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0
model1,11,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model1,11,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model1,11,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model1,11,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,11,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,11,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,11,prune,8,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,0
model1,11,prune,9,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,0
model1,11,prune,10,00000 000010 00100 001000 1 10000 100010 10010 1010 10100 101000,11,0
model1,11,prune,11,00000 000010 00100 1 1000 10000 100010 10010 1010 10100,10,0
model1,11,prune,12,00000 00010 00100 1 1000 10000 10010 1010 10100,9,0
model1,11,prune,13,00000 00010 1 100 1000 10000 10010 1010,8,0
model1,11,prune,14,0000 00010 1 100 1000 10010 1010,7,0
model1,11,prune,15,000 00010 1 100 10010 1010,6,0
model1,11,prune,16,00 00010 1 10010 1010,5,0
model1,11,prune,17,00 0010 1 1010,4,0
model1,11,prune,18,00 1 10,3,0
model1,11,prune,19,0 1,2,0
model1,12,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,12,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0
model1,12,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model1,12,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model1,12,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model1,12,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,12,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,12,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,12,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,0
model1,12,prune,9,000000 00010 00100 001000 001010 1 10000 100000 10010 10100 101000 101010,12,0
model1,12,prune,10,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010,11,0
model1,12,prune,11,00000 0010 00100 001000 001010 1 10000 10100 101000 101010,10,0
model1,12,prune,12,0000 0010 00100 001000 001010 1 10100 101000 101010,9,0
model1,12,prune,13,0000 0010 00100 001010 1 1000 10100 101010,8,0
model1,12,prune,14,000 0010 00100 001010 1 10100 101010,7,0
model1,12,prune,15,000 0010 001010 1 100 101010,6,0
model1,12,prune,16,000 0010 1 100 1010,5,0
model1,12,prune,17,000 1 10 100,4,0
model1,12,prune,18,00 1 10,3,0
model1,12,prune,19,0 1,2,0
model1,13,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,13,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,0
model1,13,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,0
model1,13,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,0
model1,13,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,0
model1,13,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,13,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,13,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,13,prune,8,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,0
model1,13,prune,9,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,0
model1,13,prune,10,0000 00010 000100 001000 001010 1 10010 100100 10100 101000 101010,11,0
model1,13,prune,11,0000 00010 00100 001000 001010 1 10010 10100 101000 101010,10,0
model1,13,prune,12,0000 00010 001000 001010 1 100 10010 101000 101010,9,0
model1,13,prune,13,0000 00010 001010 1 100 1000 10010 101010,8,0
model1,13,prune,14,000 00010 001010 1 100 10010 101010,7,0
model1,13,prune,15,000 00010 1 100 10010 1010,6,0
model1,13,prune,16,000 0010 1 100 1010,5,0
model1,13,prune,17,000 1 10 100,4,0
model1,13,prune,18,00 1 10,3,0
model1,13,prune,19,0 1,2,0
model1,14,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,0
model1,14,prune,1,000000 00001 000010 000100 000101 001000 001001 001010 10000 100000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,0
model1,14,prune,2,000000 000010 0001 000100 000101 001000 001001 001010 10000 100000 100010 10010 100100 100101 10100 101000 101001 10101 101010,19,0
model1,14,prune,3,000000 000010 0001 000100 001000 001001 00101 001010 10000 100000 100010 10010 100100 10100 101000 101001 10101 101010,18,0
model1,14,prune,4,000000 000010 0001 000100 001000 001001 001010 10000 100000 100010 10010 100100 101 10100 101000 101001 101010,17,0
model1,14,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,0
model1,14,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,0
model1,14,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,0
model1,14,prune,8,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,0
model1,14,prune,9,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000,12,0
model1,14,prune,10,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100,11,0
model1,14,prune,11,000000 00010 00100 1 1000 10000 100000 10010 1010 10100,10,0
model1,14,prune,12,000000 0010 00100 1 1000 10000 100000 1010 10100,9,0
model1,14,prune,13,00000 0010 00100 1 1000 10000 1010 10100,8,0
